"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2020-09-16","95.1","1.89","5.85","Morejon, Adrian",666158,670970,"field_error","hit_into_play",,,,,"4","Gavin Lux reaches on a fielding error by second baseman Jake Cronenworth.","R","L","L","SD","LAD","X","4","ground_ball","0","0",2020,"0.67","0.96","-0.46","2.21",,,,"0","3","Top",132.14,131.62,,,"488771",,,-7.634337365216355,-138.227261556394,-6.035849706707897,10.28794442241882,30.535127096440394,-18.70045390399783,"3.13","1.53","9","92.9","-13","94.9","2351","6.2",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.28","0.127","0.114","0.9","1","0","0","2","19","1","4-Seam Fastball","1","1","1","1","1","1","1","1","Standard","Strategic","131","-0.04","0.44"
"FF","2020-09-16","96.2","1.97","5.7","Morejon, Adrian",621035,670970,"field_out","hit_into_play",,,,,"9","Chris Taylor flies out sharply to center fielder Trent Grisham.","R","R","L","SD","LAD","X","8","fly_ball","3","0",2020,"0.88","1.08","0.60","2.13",,,,"2","2","Top",176.13,45.84,,,"488771",,,-5.564999073860758,-139.91929456945954,-6.2814737461982215,12.77275962564442,32.00697334154664,-16.794245489970454,"3.42","1.61","379","101.8","36","95.6","2368","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.49","0.467","0.893","0","1","0","0","6","11","4","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","129","0.01","-0.199"
"FF","2020-09-16","96.2","1.91","5.78","Morejon, Adrian",621035,670970,,"ball",,,,,"12","Chris Taylor flies out sharply to center fielder Trent Grisham.","R","R","L","SD","LAD","B",,,"2","0",2020,"0.72","1.15","0.90","2.99",,,,"2","2","Top",,,,,"488771",,,-4.315885767751006,-139.99260904588192,-4.4192790242843945,10.491878811937429,32.49446008001798,-16.24910710536314,"3.48","1.61",,,,"96.2","2375","6.4",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.13",,,,,,,,"11","3","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","144","0","0.042"
"FF","2020-09-16","96.8","1.57","5.8","Morejon, Adrian",621035,670970,,"ball",,,,,"13","Chris Taylor flies out sharply to center fielder Trent Grisham.","R","R","L","SD","LAD","B",,,"1","0",2020,"0.74","1.3","-1.90","2.45",,,,"2","2","Top",,,,,"488771",,,-10.940868969850305,-140.3972489564734,-6.286126692704312,12.41527739035467,33.373046799468895,-13.720107020891867,"3.45","1.61",,,,"96.4","2460","6.3",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.17",,,,,,,,"11","2","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","131","0","0.027"
"CU","2020-09-16","80.2","2.06","5.96","Morejon, Adrian",621035,670970,,"ball",,,,,"13","Chris Taylor flies out sharply to center fielder Trent Grisham.","R","R","L","SD","LAD","B",,,"0","0",2020,"-1.42","-0.76","-0.09","0.98",,,,"2","2","Top",,,,,"488771",,,-2.0498693662979837,-116.6420314380262,-2.6890979892732343,-12.221458736284392,27.340452231104763,-38.639667983665674,"3.41","1.61",,,,"79.1","2623","6.1",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.37",,,,,,,,"11","1","Curveball","0","1","1","0","1","0","1","0","Standard","Standard","312","0","0.018"
"FF","2020-09-16","96.4","1.8","5.86","Morejon, Adrian",572041,670970,"home_run","hit_into_play",,,,,"6","AJ Pollock homers (11) on a line drive to center field.","R","R","L","SD","LAD","X",,"line_drive","2","0",2020,"0.88","1.34","0.31","2.49",,,,"2","2","Top",149.08,19.79,,,"488771",,,-5.949177718021372,-140.1503217327616,-6.3849166872919225,12.993865397075426,33.64732196592627,-13.264908824276862,"3.43","1.64","426","107.1","23","96.1","2388","6.3",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.2","0.96","1.776","2","1","0","3","6","10","3","4-Seam Fastball","0","0","0","0","1","0","1","0","Standard","Strategic","139","-0.113","0.955"
"CU","2020-09-16","78.6","2.01","5.93","Morejon, Adrian",572041,670970,,"ball",,,,,"14","AJ Pollock homers (11) on a line drive to center field.","R","R","L","SD","LAD","B",,,"1","0",2020,"-1.09","-0.66","0.78","1.15",,,,"2","2","Top",,,,,"488771",,,-0.6171265000016326,-114.37194036264214,-2.211283576613815,-9.354623099351947,24.344061245466936,-37.65708360587161,"3.39","1.64",,,,"77.6","2518","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.54",,,,,,,,"10","2","Curveball","0","0","0","0","0","0","0","0","Standard","Strategic","314","0","0.027"
"CU","2020-09-16","79.2","2.1","5.93","Morejon, Adrian",572041,670970,,"ball",,,,,"14","AJ Pollock homers (11) on a line drive to center field.","R","R","L","SD","LAD","B",,,"0","0",2020,"-1.02","-0.58","1.68","2.17",,,,"2","2","Top",,,,,"488771",,,0.9800361690305803,-115.27617198097097,-0.27153546293444686,-9.246455848198575,24.20885741974145,-37.452900623969185,"3.37","1.64",,,,"78.4","2575","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.52",,,,,,,,"10","1","Curveball","0","0","0","0","0","0","0","0","Standard","Strategic","316","0","0.018"
"CU","2020-09-16","80.3","1.91","5.76","Morejon, Adrian",641355,670970,"strikeout","swinging_strike",,,,,"8","Cody Bellinger strikes out swinging.","R","L","L","SD","LAD","S","2",,"0","2",2020,"-1.05","-0.83","-0.26","2.28",,,,"1","2","Top",,,,,"488771",,,-2.7928374419908897,-116.85976533710823,0.6271496488250008,-9.008438939832358,24.009759487118053,-40.116190155111674,"3.82","1.77",,,,"80","2554","6.3",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.22",,,"0","1","0","0",,"9","5","Curveball","0","0","0","0","0","0","0","0","Infield shift","Strategic","314","0.017","-0.103"
"FF","2020-09-16","97.3","1.78","5.9","Morejon, Adrian",641355,670970,,"foul",,,,,"9","Cody Bellinger strikes out swinging.","R","L","L","SD","LAD","S",,,"0","2",2020,"0.95","1.29","0.68","1.71",,,,"1","2","Top",,,,,"488771",,,-5.109119282056834,-141.47283064706957,-8.651395771701685,13.913128398229274,31.94083773444306,-13.070698031289636,"3.82","1.77",,,,"97","2442","6.2",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.34",,,,,,,,"9","4","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Strategic","134","0","0"
